Date,Time (PST),Group,PaymentMethod,Gross,Fees,Net,
2/21/2024,13:40:34,Control,Venmo,$5.00 ,$0.00 ,$5.00 ,
2/21/2024,14:43:18,Control,Venmo,$2.00 ,$0.00 ,$2.00 ,
2/22/2024,11:10:03,Control,Venmo,$5.00 ,$0.00 ,$5.00 ,
2/23/2024,10:51:30,Control,Venmo,$5.00 ,$0.00 ,$5.00 ,
2/24/2024,10:05:58,Control,Venmo,$5.00 ,$0.00 ,$5.00 ,
2/14/2024,8:30:19,Control,PayPal,$25.00 ,($0.99),$24.01 ,
2/14/2024,8:32:55,Control,PayPal,$5.00 ,($0.59),$4.41 ,
2/14/2024,8:36:35,Control,PayPal,$26.01 ,($1.01),$25.00 ,
2/14/2024,8:45:47,Control,PayPal,$10.00 ,($0.69),$9.31 ,
2/14/2024,8:45:58,Control,PayPal,$26.01 ,($1.01),$25.00 ,
2/14/2024,8:46:04,Control,PayPal,$10.70 ,($0.70),$10.00 ,
2/14/2024,8:47:13,Treatment,PayPal,$10.00 ,($0.69),$9.31 ,
2/14/2024,8:48:10,Control,PayPal,$5.60 ,($0.60),$5.00 ,
2/14/2024,9:27:36,Control,PayPal,$10.70 ,($0.70),$10.00 ,
2/14/2024,9:30:16,Control,PayPal,$10.00 ,($0.69),$9.31 ,
2/14/2024,9:53:07,Control,PayPal,$5.00 ,($0.59),$4.41 ,
2/14/2024,11:10:28,Treatment,PayPal,$5.60 ,($0.60),$5.00 ,
2/14/2024,12:33:40,Treatment,PayPal,$5.60 ,($0.60),$5.00 ,
2/15/2024,12:29:52,Control,PayPal,$10.70 ,($0.70),$10.00 ,
2/20/2024,7:41:25,Control,PayPal,$100.00 ,($2.48),$97.52 ,
2/21/2024,8:32:42,Control,PayPal,$10.70 ,($0.70),$10.00 ,
2/21/2024,9:50:30,Control,PayPal,$26.01 ,($1.01),$25.00 ,
2/21/2024,10:11:58,Control,PayPal,$10.70 ,($0.70),$10.00 ,
2/21/2024,10:34:05,Control,PayPal,$100.00 ,($2.48),$97.52 ,
2/21/2024,13:02:54,Control,PayPal,$50.00 ,($1.49),$48.51 ,
2/21/2024,13:05:21,Control,PayPal,$5.60 ,($0.60),$5.00 ,
2/21/2024,17:43:05,Control,PayPal,$10.70 ,($0.70),$10.00 ,
2/21/2024,19:19:47,Control,PayPal,$100.00 ,($2.48),$97.52 ,
2/21/2024,20:35:32,Control,PayPal,$5.00 ,($0.59),$4.41 ,
2/23/2024,7:35:08,Control,PayPal,$5.60 ,($0.60),$5.00 ,
2/14/2024,11:03:00,Control,StripeDonation,$25.00 ,$0.00 ,$25.00 ,
2/16/2024,23:31:00,Control,StripeDonation,$100.00 ,$0.00 ,$100.00 ,
2/17/2024,16:36:00,Control,StripeDonation,$50.00 ,$0.00 ,$50.00 ,
,,,,,,,
,,,,,,,
