Date,Time (PST),Group,PaymentMethod,Gross,Fees,Net
2/14/2024,8:30:19,Treatment,PayPal,$25.00 ,($0.99),$24.01 
2/14/2024,9:27:36,Treatment,PayPal,$10.70 ,($0.70),$10.00 
2/14/2024,8:47:13,Control,PayPal,$10.00 ,($0.69),$9.31 
2/14/2024,8:32:55,Treatment,PayPal,$5.00 ,($0.59),$4.41 
2/14/2024,8:36:35,Treatment,PayPal,$26.01 ,($1.01),$25.00 
2/14/2024,8:45:47,Treatment,PayPal,$10.00 ,($0.69),$9.31 
2/14/2024,9:30:16,Treatment,PayPal,$10.00 ,($0.69),$9.31 
2/14/2024,8:45:58,Treatment,PayPal,$26.01 ,($1.01),$25.00 
2/14/2024,9:53:07,Treatment,PayPal,$5.00 ,($0.59),$4.41 
2/14/2024,11:10:28,Control,PayPal,$5.60 ,($0.60),$5.00 
2/14/2024,12:33:40,Control,PayPal,$5.60 ,($0.60),$5.00 
2/14/2024,11:03:00,Treatment,StripeDonation,$25.00 ,$0.00 ,$25.00 
2/14/2024,8:48:10,Treatment,PayPal,$5.60 ,($0.60),$5.00 
2/14/2024,8:46:04,Treatment,PayPal,$10.70 ,($0.70),$10.00 
2/15/2024,12:29:52,Treatment,PayPal,$10.70 ,($0.70),$10.00 
2/16/2024,23:31:00,Treatment,StripeDonation,$100.00 ,$0.00 ,$100.00 
2/17/2024,16:36:00,Treatment,StripeDonation,$50.00 ,$0.00 ,$50.00 
2/20/2024,7:41:25,Treatment,PayPal,$100.00 ,($2.48),$97.52 
